"From"	"to"	"rValue"	"pValue"	"n"	"colMeans..t.."	"From_type"	"To_type"
"194"	"ASV_1059"	"ASV_1067"	0.839653750536851	0.0243403548284655	4408	0.000443034136990773	"Other"	"Other"
"195"	"ASV_1059"	"ASV_1194"	0.840990310511276	0.0243403548284655	4409	0.000443034136990773	"Other"	"Other"
"196"	"ASV_1059"	"ASV_1215"	0.839653750536851	0.0243403548284655	4410	0.000443034136990773	"Other"	"Other"
"197"	"ASV_1059"	"ASV_1369"	0.987951807228916	1.20527962745326e-07	4411	0.000443034136990773	"Other"	"Other"
"198"	"ASV_1059"	"ASV_1381"	0.895600070934086	0.00399358376291466	4412	0.000443034136990773	"Other"	"Other"
"199"	"ASV_1059"	"ASV_1495"	0.987951807228916	1.20527962745326e-07	4413	0.000443034136990773	"Other"	"Other"
"200"	"ASV_1059"	"ASV_1547"	0.839653750536851	0.0243403548284655	4414	0.000443034136990773	"Other"	"Other"
"201"	"ASV_1059"	"ASV_1600"	0.840990310511276	0.0243403548284655	4415	0.000443034136990773	"Other"	"Other"
"202"	"ASV_1059"	"ASV_1604"	0.853765578276966	0.0175734787786925	4416	0.000443034136990773	"Other"	"Other"
"203"	"ASV_1059"	"ASV_1624"	0.996983401875105	1.27997968650292e-10	4417	0.000443034136990773	"Other"	"Other"
"204"	"ASV_1059"	"ASV_1728"	0.853765578276966	0.0175734787786925	4418	0.000443034136990773	"Other"	"Other"
"205"	"ASV_1059"	"ASV_1795"	0.839653750536851	0.0243403548284655	4419	0.000443034136990773	"Other"	"Shared"
"206"	"ASV_1059"	"ASV_1979"	0.987951807228916	1.20527962745326e-07	4420	0.000443034136990773	"Other"	"Other"
"207"	"ASV_1059"	"ASV_2761"	0.987951807228916	1.20527962745326e-07	4421	0.000443034136990773	"Other"	"Other"
"208"	"ASV_1059"	"ASV_3286"	0.839653750536851	0.0243403548284655	4422	0.000443034136990773	"Other"	"Other"
"209"	"ASV_1059"	"ASV_3288"	0.839653750536851	0.0243403548284655	4423	0.000443034136990773	"Other"	"Other"
"210"	"ASV_1059"	"ASV_3365"	0.853765578276966	0.0175734787786925	4424	0.000443034136990773	"Other"	"Other"
"211"	"ASV_1059"	"ASV_4349"	0.839653750536851	0.0243403548284655	4425	0.000443034136990773	"Other"	"Other"
"212"	"ASV_1067"	"ASV_25"	0.662122191971731	0.0189889178002358	4426	0.000563247634799745	"Other"	"Shared"
"213"	"ASV_1067"	"ASV_37"	0.674453273433462	0.016141937223294	4427	0.000563247634799745	"Other"	"Shared"
"214"	"ASV_1067"	"ASV_39"	0.662122191971731	0.0189889178002358	4428	0.000563247634799745	"Other"	"Shared"
"215"	"ASV_1067"	"ASV_48"	0.655040467592955	0.0207810987443266	4429	0.000563247634799745	"Other"	"Shared"
"216"	"ASV_1067"	"ASV_64"	0.656204984899083	0.0204782462215413	4430	0.000563247634799745	"Other"	"Shared"
"217"	"ASV_1067"	"ASV_73"	0.662122191971731	0.0189889178002358	4431	0.000563247634799745	"Other"	"Shared"
"218"	"ASV_1067"	"ASV_85"	0.662122191971731	0.0189889178002358	4432	0.000563247634799745	"Other"	"Shared"
"219"	"ASV_1067"	"ASV_102"	0.674453273433462	0.016141937223294	4433	0.000563247634799745	"Other"	"Shared"
"220"	"ASV_1067"	"ASV_120"	0.674453273433462	0.016141937223294	4434	0.000563247634799745	"Other"	"Shared"
"221"	"ASV_1067"	"ASV_136"	0.853765578276966	0.000409830882902802	4435	0.000563247634799745	"Other"	"Shared"
"222"	"ASV_1067"	"ASV_137"	0.604267319353088	0.0374290381434986	4436	0.000563247634799745	"Other"	"Other"
"223"	"ASV_1067"	"ASV_270"	0.662122191971731	0.0189889178002358	4437	0.000563247634799745	"Other"	"Shared"
"224"	"ASV_1067"	"ASV_277"	0.66332495807108	0.0186961607884367	4438	0.000563247634799745	"Other"	"Shared"
